row_hash,issue_code,affected_scope,affected_from,affected_to,decision,severity,signal_blocking,details
623042b6c95b6a0e,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-09-21,2023-09-21,QUARANTINE,WARNING,False,"{""factor_ratio"":2.0000565733520657}"
5cef0029eabd791a,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-10-04,2023-10-04,QUARANTINE,WARNING,False,"{""factor_ratio"":0.3333333333333333}"
9db07b9cd4d22a8b,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-10-20,2023-10-20,QUARANTINE,WARNING,False,"{""factor_ratio"":2.0000000000000000}"
196ad10d65c4a6a9,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-10-23,2023-10-23,QUARANTINE,WARNING,False,"{""factor_ratio"":0.0500000000000000}"
75db19e5f9779a78,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-10-23,2023-10-23,QUARANTINE,WARNING,False,"{""factor_ratio"":0.5000000000000000}"
05596d60cacfc754,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-10-23,2023-10-23,QUARANTINE,WARNING,False,"{""factor_ratio"":2.0000000000000000}"
2a1f4fb5565f036a,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-10-27,2023-10-27,QUARANTINE,WARNING,False,"{""factor_ratio"":0.2500000000000000}"
a94bf46fdba33af1,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-11-01,2023-11-01,QUARANTINE,WARNING,False,"{""factor_ratio"":1.4195402298850575}"
b57288056ab77c22,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-12-12,2023-12-12,QUARANTINE,WARNING,False,"{""factor_ratio"":0.1042345276872964}"
8682bb938b4c62f7,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-12-20,2023-12-20,QUARANTINE,WARNING,False,"{""factor_ratio"":0.2849557522123894}"
b53570101dfd9710,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2023-12-27,2023-12-27,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0183206106870228}"
